x1,x2,x3,x4,x5,y
5.93,186.0,44.0,4.14,24.0,1.0
8.58,146.0,69.0,4.91,6.0,0.0
4.64,21.0,11.0,4.3,9.0,0.0
7.3,96.0,55.0,5.02,11.0,0.0
9.88,197.0,26.0,4.47,7.0,0.0
6.64,72.0,37.0,4.67,16.0,0.0
1.55,130.0,15.0,4.52,17.0,0.0
9.77,204.0,48.0,4.91,49.0,0.0
4.87,221.0,39.0,4.7,27.0,1.0
3.58,112.0,13.0,4.71,4.0,1.0
7.51,180.0,56.0,4.9,33.0,0.0
7.85,165.0,13.0,4.4,26.0,0.0
8.52,101.0,84.0,4.89,26.0,1.0
11.02,243.0,64.0,4.7,10.0,0.0
11.74,235.0,109.0,5.23,14.0,1.0
2.17,71.0,20.0,4.25,138.0,0.0
9.81,130.0,81.0,4.55,17.0,0.0
12.67,198.0,55.0,4.36,94.0,0.0
8.45,257.0,32.0,4.69,6.0,0.0
3.81,202.0,13.0,4.73,25.0,1.0
7.65,189.0,20.0,4.63,28.0,0.0
5.32,73.0,31.0,4.34,38.0,0.0
6.33,169.0,46.0,4.94,29.0,1.0
1.14,22.0,11.0,4.71,48.0,0.0
10.31,154.0,58.0,4.86,36.0,0.0
10.94,185.0,21.0,4.55,70.0,0.0
2.06,237.0,19.0,4.92,26.0,1.0
1.34,131.0,11.0,3.33,107.0,0.0
10.55,39.0,64.0,5.04,46.0,1.0
2.53,104.0,23.0,4.87,11.0,1.0
8.26,257.0,62.0,5.07,64.0,0.0
4.86,163.0,11.0,4.09,6.0,1.0
7.69,240.0,70.0,4.94,29.0,1.0
8.17,158.0,38.0,4.75,8.0,0.0
10.87,108.0,17.0,4.56,37.0,1.0
9.23,111.0,33.0,4.25,17.0,0.0
1.39,86.0,13.0,3.28,27.0,0.0
8.69,229.0,73.0,4.59,25.0,0.0
6.38,63.0,29.0,4.65,15.0,0.0
8.19,151.0,48.0,4.23,41.0,0.0
1.91,91.0,16.0,4.19,40.0,0.0
1.42,109.0,13.0,4.71,5.0,0.0
2.94,53.0,24.0,3.76,13.0,0.0
9.38,29.0,35.0,4.4,61.0,1.0
6.45,40.0,16.0,3.89,25.0,0.0
12.2,200.0,76.0,4.97,29.0,0.0
9.6,179.0,48.0,4.56,59.0,0.0
8.27,126.0,35.0,4.89,82.0,0.0
5.1,82.0,30.0,4.2,25.0,0.0
1.2,146.0,12.0,3.49,14.0,1.0
10.75,45.0,30.0,3.86,96.0,1.0
5.52,39.0,12.0,3.82,10.0,0.0
4.74,55.0,44.0,5.0,70.0,0.0
9.55,158.0,80.0,5.16,5.0,0.0
11.02,173.0,36.0,4.59,9.0,0.0
11.78,165.0,76.0,4.81,46.0,0.0
4.62,89.0,43.0,4.18,5.0,0.0
6.1,22.0,37.0,4.89,11.0,0.0
7.99,232.0,32.0,4.66,49.0,0.0
9.45,258.0,63.0,4.88,58.0,0.0
6.33,67.0,27.0,4.3,50.0,0.0
2.01,100.0,19.0,3.85,30.0,0.0
2.52,140.0,10.0,4.19,13.0,1.0
2.77,90.0,21.0,4.43,6.0,0.0
4.5,175.0,42.0,4.37,14.0,0.0
4.28,89.0,24.0,4.68,16.0,0.0
12.36,245.0,83.0,5.3,25.0,0.0
2.48,36.0,22.0,3.46,8.0,0.0
3.34,102.0,15.0,3.4,7.0,0.0
8.86,230.0,16.0,4.53,41.0,0.0
2.91,33.0,17.0,3.77,45.0,0.0
8.09,154.0,30.0,3.99,22.0,0.0
12.75,249.0,88.0,5.02,5.0,0.0
6.86,194.0,64.0,4.59,8.0,1.0
11.77,233.0,58.0,4.79,40.0,0.0
3.06,235.0,18.0,4.27,16.0,1.0
3.23,85.0,16.0,4.57,11.0,0.0
10.64,213.0,50.0,4.7,22.0,0.0
9.52,152.0,58.0,4.68,10.0,0.0
7.35,92.0,43.0,4.44,55.0,0.0
7.22,126.0,26.0,4.7,123.0,1.0
9.39,122.0,40.0,4.42,200.0,0.0
8.98,99.0,82.0,4.62,10.0,0.0
9.56,57.0,66.0,5.13,18.0,1.0
10.46,89.0,56.0,4.56,62.0,1.0
10.71,216.0,23.0,3.82,38.0,0.0
1.95,20.0,19.0,4.61,54.0,0.0
2.72,81.0,21.0,4.27,7.0,0.0
8.05,174.0,16.0,4.89,4.0,0.0
10.37,204.0,69.0,4.87,16.0,0.0
1.45,166.0,14.0,4.23,9.0,1.0
10.0,255.0,86.0,4.97,6.0,0.0
2.3,114.0,15.0,3.35,22.0,0.0
7.96,54.0,60.0,4.89,56.0,1.0
1.66,57.0,11.0,4.15,27.0,0.0
12.86,178.0,41.0,4.1,77.0,0.0
9.06,210.0,70.0,4.71,22.0,0.0
7.27,132.0,29.0,4.33,265.0,0.0
5.25,23.0,44.0,4.74,23.0,0.0
11.21,190.0,37.0,4.34,14.0,0.0
10.62,222.0,27.0,4.67,24.0,0.0
3.55,102.0,15.0,3.94,69.0,0.0
9.5,189.0,17.0,4.65,16.0,0.0
9.4,111.0,54.0,4.28,34.0,0.0
12.16,169.0,22.0,4.92,350.0,0.0
10.58,195.0,28.0,3.96,8.0,0.0
11.22,238.0,106.0,5.32,74.0,0.0
2.47,64.0,17.0,4.25,31.0,0.0
6.21,192.0,25.0,4.96,11.0,1.0
4.15,81.0,18.0,4.78,7.0,0.0
7.91,198.0,36.0,4.67,2.0,0.0
2.44,117.0,17.0,3.57,8.0,0.0
11.02,195.0,48.0,5.12,36.0,0.0
6.11,56.0,53.0,4.46,35.0,0.0
7.22,95.0,58.0,4.68,30.0,0.0
1.04,55.0,10.0,3.59,5.0,0.0
7.98,240.0,10.0,3.6,21.0,0.0
1.39,151.0,13.0,4.38,14.0,1.0
1.64,90.0,13.0,4.8,9.0,0.0
9.97,207.0,93.0,4.96,19.0,0.0
3.25,23.0,17.0,3.39,33.0,0.0
3.03,64.0,23.0,3.81,23.0,0.0
11.39,213.0,112.0,5.01,21.0,0.0
11.68,237.0,66.0,5.23,14.0,0.0
8.78,122.0,70.0,5.05,20.0,0.0
7.76,86.0,15.0,3.31,7.0,0.0
3.41,183.0,15.0,4.82,2.0,1.0
8.24,197.0,26.0,4.51,53.0,0.0
5.67,53.0,41.0,4.35,9.0,0.0
7.83,114.0,59.0,4.48,72.0,0.0
7.95,128.0,49.0,5.06,19.0,0.0
8.9,130.0,43.0,4.5,47.0,0.0
8.38,165.0,22.0,4.69,9.0,0.0
8.11,128.0,38.0,4.76,139.0,0.0
1.57,110.0,12.0,3.73,14.0,0.0
10.5,240.0,58.0,5.09,10.0,0.0
1.97,21.0,13.0,3.19,12.0,1.0
10.05,41.0,93.0,5.18,188.0,1.0
2.82,107.0,19.0,4.23,45.0,0.0
8.74,62.0,64.0,4.78,6.0,1.0
10.67,160.0,67.0,4.89,63.0,0.0
6.0,145.0,22.0,4.05,31.0,1.0
10.88,149.0,44.0,4.66,64.0,0.0
11.33,214.0,29.0,4.6,21.0,0.0
11.55,213.0,24.0,4.27,13.0,0.0
1.76,103.0,16.0,4.55,6.0,0.0
4.12,25.0,41.0,4.37,73.0,0.0
11.05,128.0,41.0,4.59,63.0,0.0
2.87,243.0,15.0,3.78,63.0,1.0
1.51,254.0,12.0,4.27,28.0,1.0
7.63,128.0,65.0,4.73,7.0,0.0
5.34,27.0,28.0,4.55,26.0,0.0
5.35,27.0,38.0,4.94,39.0,0.0
11.41,45.0,34.0,3.98,16.0,1.0
7.84,45.0,36.0,4.75,13.0,1.0
6.86,188.0,62.0,5.13,3.0,1.0
2.2,22.0,18.0,3.12,20.0,0.0
8.49,112.0,58.0,4.72,23.0,0.0
9.39,141.0,53.0,4.72,52.0,0.0
12.84,184.0,89.0,5.26,16.0,0.0
11.92,161.0,37.0,4.02,13.0,0.0
8.46,172.0,50.0,4.64,30.0,0.0
5.98,67.0,56.0,4.47,127.0,0.0
8.64,128.0,68.0,4.88,44.0,0.0
7.59,132.0,48.0,4.89,5.0,0.0
9.57,112.0,24.0,4.27,16.0,0.0
11.78,137.0,19.0,3.96,25.0,0.0
12.5,201.0,122.0,5.07,75.0,0.0
9.98,253.0,21.0,4.25,5.0,0.0
7.72,62.0,33.0,4.42,8.0,1.0
4.92,58.0,24.0,4.46,3.0,0.0
10.47,105.0,61.0,4.69,51.0,0.0
11.18,221.0,75.0,4.68,2.0,0.0
12.98,30.0,110.0,4.89,10.0,1.0
10.56,115.0,15.0,4.3,48.0,1.0
6.7,52.0,31.0,4.0,14.0,0.0
7.86,212.0,62.0,4.52,20.0,0.0
6.49,21.0,17.0,4.78,10.0,0.0
11.91,189.0,38.0,4.6,144.0,0.0
4.43,106.0,36.0,4.65,79.0,1.0
10.34,153.0,73.0,5.23,10.0,0.0
11.89,204.0,110.0,5.26,73.0,0.0
9.49,143.0,16.0,4.59,114.0,0.0
6.62,45.0,21.0,4.79,19.0,0.0
1.66,87.0,17.0,4.63,62.0,0.0
10.86,252.0,81.0,5.21,36.0,0.0
3.06,92.0,20.0,3.58,6.0,1.0
1.21,55.0,11.0,4.33,18.0,0.0
11.49,228.0,58.0,4.55,9.0,0.0
10.67,169.0,78.0,4.94,2.0,0.0
3.19,60.0,14.0,4.54,54.0,0.0
3.17,141.0,21.0,4.9,41.0,1.0
12.91,246.0,38.0,4.61,28.0,0.0
11.34,167.0,14.0,4.86,19.0,0.0
8.68,121.0,39.0,4.45,22.0,0.0
4.73,42.0,29.0,4.71,2.0,0.0
12.64,246.0,124.0,5.02,24.0,0.0
10.49,77.0,49.0,5.05,32.0,1.0
11.18,200.0,24.0,4.1,198.0,0.0
8.47,206.0,29.0,4.44,112.0,0.0
8.75,250.0,69.0,4.97,45.0,0.0
11.34,200.0,81.0,4.91,15.0,0.0
11.77,106.0,90.0,5.22,21.0,0.0
4.17,84.0,29.0,4.89,47.0,0.0
6.68,139.0,36.0,4.39,83.0,1.0
9.83,100.0,14.0,3.78,8.0,0.0
6.58,20.0,65.0,4.39,46.0,0.0
8.27,89.0,27.0,4.8,35.0,0.0
10.69,122.0,64.0,4.76,12.0,0.0
2.09,217.0,20.0,4.71,69.0,1.0
5.21,110.0,36.0,4.56,6.0,1.0
9.61,175.0,32.0,4.76,11.0,0.0
4.82,72.0,18.0,4.04,22.0,0.0
5.83,70.0,28.0,4.22,103.0,0.0
7.92,176.0,35.0,4.66,36.0,0.0
5.01,44.0,21.0,3.24,5.0,0.0
10.36,140.0,46.0,5.06,13.0,0.0
10.61,190.0,69.0,5.22,34.0,0.0
1.85,167.0,11.0,4.69,23.0,1.0
6.53,190.0,62.0,4.88,25.0,1.0
11.16,212.0,77.0,4.98,2.0,0.0
9.44,115.0,63.0,4.55,341.0,0.0
10.83,112.0,64.0,4.74,110.0,0.0
3.97,91.0,17.0,4.26,22.0,0.0
10.13,182.0,60.0,5.07,18.0,0.0
7.9,197.0,59.0,4.61,20.0,0.0
12.91,226.0,89.0,4.84,47.0,0.0
9.61,239.0,46.0,4.47,36.0,0.0
7.91,253.0,48.0,4.84,24.0,0.0
8.62,98.0,56.0,4.95,31.0,0.0
2.82,187.0,18.0,4.79,66.0,1.0
3.11,236.0,29.0,4.61,59.0,1.0
5.9,120.0,48.0,4.78,41.0,1.0
9.1,113.0,37.0,4.71,23.0,0.0
1.69,32.0,10.0,3.9,38.0,0.0
11.7,234.0,12.0,4.32,32.0,0.0
3.09,100.0,15.0,3.92,36.0,0.0
12.12,235.0,27.0,4.6,12.0,0.0
10.09,177.0,48.0,5.1,21.0,0.0
10.55,180.0,78.0,5.26,38.0,0.0
1.24,250.0,11.0,4.48,11.0,1.0
8.32,112.0,22.0,3.92,22.0,0.0
7.8,89.0,13.0,4.33,53.0,0.0
12.8,211.0,36.0,4.33,11.0,0.0
11.82,151.0,49.0,4.72,77.0,0.0
12.92,232.0,123.0,5.02,30.0,0.0
8.61,198.0,67.0,5.13,42.0,0.0
5.35,39.0,44.0,4.87,27.0,0.0
2.04,112.0,17.0,4.53,90.0,0.0
2.99,107.0,23.0,4.86,21.0,0.0
2.7,39.0,24.0,4.83,67.0,0.0
7.86,55.0,51.0,4.67,6.0,1.0
1.91,98.0,16.0,4.37,6.0,0.0
8.14,214.0,76.0,5.24,16.0,0.0
11.95,203.0,14.0,3.58,10.0,0.0
5.75,197.0,43.0,5.09,5.0,1.0
8.44,172.0,57.0,4.87,205.0,0.0
6.36,123.0,36.0,4.8,51.0,1.0
10.53,124.0,63.0,4.71,272.0,0.0
10.36,127.0,57.0,4.67,12.0,0.0
10.64,226.0,86.0,5.16,5.0,0.0
7.89,136.0,78.0,4.63,2.0,0.0
10.18,196.0,60.0,4.86,12.0,0.0
3.65,55.0,28.0,4.87,4.0,0.0
10.64,179.0,68.0,4.6,29.0,0.0
8.33,226.0,67.0,4.94,53.0,0.0
8.43,104.0,37.0,4.78,9.0,0.0
7.9,210.0,36.0,4.99,86.0,0.0
8.5,66.0,23.0,4.37,32.0,1.0
2.15,23.0,14.0,4.41,7.0,0.0
8.86,238.0,63.0,5.12,40.0,0.0
8.07,86.0,71.0,4.82,18.0,0.0
1.42,136.0,11.0,4.77,91.0,0.0
11.33,157.0,61.0,4.81,5.0,0.0
11.9,230.0,32.0,4.25,18.0,0.0
12.38,61.0,44.0,4.62,14.0,1.0
10.66,181.0,95.0,5.05,50.0,0.0
10.2,101.0,101.0,4.89,16.0,1.0
11.63,133.0,114.0,5.08,80.0,0.0
10.21,219.0,38.0,4.56,44.0,0.0
11.41,245.0,23.0,4.48,22.0,0.0
6.46,256.0,31.0,4.9,26.0,0.0
11.48,216.0,45.0,4.87,28.0,0.0
6.37,70.0,28.0,4.13,27.0,0.0
1.66,115.0,15.0,4.38,2.0,0.0
10.56,252.0,87.0,4.9,7.0,0.0
3.63,161.0,23.0,4.55,4.0,1.0
5.0,246.0,26.0,4.69,110.0,1.0
4.15,84.0,24.0,4.09,18.0,0.0
12.77,212.0,126.0,5.06,33.0,1.0
11.3,217.0,55.0,4.59,15.0,0.0
9.29,149.0,38.0,4.17,22.0,0.0
7.73,178.0,61.0,5.04,12.0,0.0
1.62,64.0,13.0,3.45,32.0,0.0
12.86,178.0,99.0,4.97,160.0,0.0
11.21,187.0,70.0,4.82,3.0,0.0
12.47,189.0,64.0,4.89,23.0,0.0
11.38,140.0,68.0,5.13,56.0,0.0
12.71,234.0,43.0,4.54,33.0,0.0
8.2,201.0,65.0,4.46,21.0,0.0
2.36,114.0,16.0,3.89,15.0,0.0
5.59,205.0,40.0,4.14,9.0,1.0
8.4,241.0,80.0,4.94,41.0,0.0
11.34,169.0,60.0,4.52,12.0,0.0
11.6,138.0,16.0,4.22,13.0,0.0
1.62,77.0,13.0,4.59,5.0,0.0
9.94,186.0,88.0,5.23,10.0,0.0
6.19,51.0,18.0,3.74,14.0,0.0
6.57,232.0,61.0,5.09,21.0,1.0
11.24,208.0,47.0,4.9,42.0,0.0
3.67,33.0,19.0,4.51,11.0,0.0
1.45,41.0,14.0,3.58,19.0,1.0
12.9,161.0,30.0,4.7,21.0,0.0
2.28,54.0,19.0,4.52,22.0,0.0
12.48,174.0,60.0,5.02,40.0,0.0
9.1,39.0,48.0,4.9,30.0,1.0
9.32,175.0,19.0,4.7,18.0,0.0
2.12,97.0,15.0,4.1,17.0,0.0
10.98,150.0,87.0,4.78,24.0,0.0
2.16,97.0,14.0,4.34,11.0,0.0
11.46,159.0,15.0,4.58,20.0,0.0
2.04,258.0,13.0,4.78,37.0,1.0
8.65,115.0,71.0,5.04,48.0,0.0
12.13,208.0,76.0,5.17,13.0,0.0
3.15,51.0,15.0,4.35,204.0,0.0
8.18,221.0,40.0,4.83,43.0,0.0
5.79,142.0,51.0,4.56,38.0,1.0
9.83,137.0,14.0,4.6,8.0,0.0
7.48,233.0,42.0,4.39,14.0,1.0
4.69,192.0,36.0,4.89,4.0,1.0
10.18,216.0,20.0,4.72,12.0,0.0
9.78,154.0,94.0,4.99,5.0,0.0
10.42,126.0,90.0,4.91,43.0,0.0
3.7,92.0,34.0,4.78,12.0,0.0
10.58,143.0,12.0,4.25,32.0,0.0
5.82,27.0,10.0,4.11,28.0,0.0
2.81,46.0,15.0,4.18,12.0,0.0
3.35,46.0,12.0,4.76,16.0,0.0
11.6,203.0,20.0,3.98,31.0,0.0
10.17,227.0,56.0,4.58,9.0,0.0
12.26,148.0,115.0,4.95,12.0,0.0
8.56,152.0,68.0,5.21,20.0,0.0
8.51,251.0,38.0,4.48,13.0,0.0
4.0,90.0,38.0,4.02,9.0,0.0
3.86,179.0,16.0,4.86,102.0,1.0
6.07,179.0,57.0,4.44,32.0,1.0
4.14,76.0,36.0,4.88,16.0,0.0
8.49,134.0,76.0,4.98,117.0,0.0
11.02,224.0,71.0,5.09,33.0,0.0
12.35,167.0,80.0,4.62,14.0,0.0
2.91,107.0,18.0,4.83,18.0,0.0
11.43,160.0,78.0,5.05,74.0,0.0
6.3,70.0,39.0,4.49,96.0,0.0
12.23,231.0,62.0,4.92,78.0,0.0
8.28,106.0,53.0,4.82,36.0,0.0
10.17,240.0,94.0,5.33,47.0,0.0
11.99,138.0,25.0,3.8,37.0,0.0
2.61,52.0,15.0,4.41,24.0,0.0
11.77,181.0,103.0,4.91,13.0,0.0
6.41,88.0,46.0,4.78,7.0,1.0
7.49,63.0,44.0,4.06,22.0,1.0
10.64,172.0,56.0,4.84,6.0,0.0
6.32,231.0,26.0,4.75,49.0,1.0
10.77,202.0,77.0,5.19,60.0,0.0
8.44,132.0,69.0,4.67,32.0,0.0
12.73,253.0,78.0,5.04,25.0,0.0
11.32,32.0,39.0,4.04,22.0,1.0
11.95,82.0,54.0,4.2,6.0,1.0
11.52,169.0,43.0,4.39,23.0,0.0
9.51,255.0,24.0,4.98,22.0,0.0
8.52,113.0,20.0,4.83,59.0,0.0
11.2,124.0,96.0,5.28,12.0,0.0
7.58,162.0,70.0,4.69,10.0,0.0
10.25,171.0,73.0,5.19,17.0,0.0
3.75,49.0,13.0,3.62,8.0,0.0
9.32,216.0,32.0,4.92,2.0,0.0
5.51,82.0,24.0,4.88,21.0,0.0
11.74,156.0,25.0,4.67,14.0,0.0
1.62,47.0,13.0,4.39,40.0,0.0
2.96,218.0,25.0,4.37,16.0,1.0
3.26,23.0,24.0,3.27,79.0,0.0
11.49,186.0,48.0,4.74,4.0,0.0
3.16,78.0,19.0,4.78,193.0,0.0
7.63,165.0,49.0,4.37,12.0,0.0
8.95,121.0,59.0,4.93,12.0,0.0
4.9,29.0,20.0,4.15,77.0,0.0
6.29,69.0,51.0,4.7,30.0,0.0
11.02,163.0,23.0,4.82,14.0,0.0
9.45,219.0,68.0,5.24,127.0,0.0
11.55,169.0,37.0,4.75,27.0,0.0
3.44,106.0,34.0,3.81,54.0,1.0
7.75,96.0,73.0,4.77,63.0,0.0
10.88,130.0,21.0,3.8,9.0,0.0
5.53,21.0,49.0,4.89,25.0,0.0
12.83,147.0,115.0,5.39,10.0,1.0
8.44,244.0,20.0,4.56,9.0,0.0
3.45,62.0,12.0,4.4,4.0,0.0
9.64,225.0,14.0,4.9,11.0,0.0
10.49,107.0,45.0,4.53,43.0,0.0
8.42,232.0,54.0,4.77,3.0,0.0
10.9,40.0,26.0,4.86,60.0,1.0
7.7,56.0,22.0,3.32,37.0,1.0
10.72,162.0,40.0,4.05,4.0,0.0
8.51,175.0,74.0,5.02,4.0,0.0
11.56,232.0,75.0,4.8,16.0,0.0
11.85,207.0,55.0,4.33,10.0,0.0
8.24,92.0,31.0,4.41,7.0,0.0
8.83,111.0,45.0,4.76,2.0,0.0
10.06,256.0,72.0,5.02,6.0,0.0
6.61,194.0,47.0,4.49,163.0,1.0
12.64,201.0,32.0,4.87,17.0,0.0
5.87,86.0,57.0,5.02,58.0,1.0
12.98,170.0,110.0,5.21,19.0,0.0
4.58,36.0,16.0,3.98,5.0,0.0
9.67,218.0,94.0,5.37,12.0,0.0
8.52,170.0,44.0,4.4,12.0,0.0
8.44,156.0,44.0,4.78,113.0,0.0
12.04,186.0,94.0,5.33,14.0,0.0
6.84,85.0,56.0,4.63,121.0,1.0
9.98,227.0,71.0,5.06,10.0,0.0
2.19,117.0,16.0,4.83,77.0,1.0
2.79,94.0,28.0,4.4,77.0,0.0
10.73,171.0,39.0,4.75,41.0,0.0
2.08,52.0,10.0,3.35,10.0,0.0
12.26,227.0,118.0,5.09,4.0,0.0
4.55,247.0,38.0,5.08,132.0,1.0
4.97,65.0,39.0,4.86,17.0,0.0
10.93,61.0,33.0,4.92,17.0,1.0
9.9,30.0,75.0,4.84,5.0,1.0
8.32,196.0,23.0,4.35,25.0,0.0
1.73,62.0,11.0,4.04,6.0,0.0
5.13,79.0,12.0,4.44,7.0,0.0
1.56,136.0,15.0,4.67,80.0,0.0
9.92,60.0,75.0,4.94,26.0,1.0
5.9,24.0,43.0,4.9,15.0,0.0
12.28,119.0,58.0,5.12,117.0,1.0
8.47,126.0,68.0,4.53,41.0,0.0
9.1,256.0,67.0,4.8,20.0,0.0
10.28,218.0,15.0,4.57,32.0,0.0
2.61,127.0,26.0,4.88,43.0,1.0
1.46,140.0,14.0,4.31,51.0,1.0
2.31,200.0,12.0,4.69,4.0,1.0
12.26,186.0,75.0,4.89,4.0,0.0
8.61,214.0,32.0,4.88,9.0,0.0
6.49,29.0,63.0,4.95,95.0,0.0
12.33,164.0,64.0,4.87,16.0,0.0
2.01,24.0,16.0,3.59,12.0,0.0
12.46,173.0,15.0,4.42,14.0,0.0
2.68,183.0,16.0,3.99,15.0,1.0
12.82,210.0,99.0,5.02,92.0,0.0
3.72,78.0,18.0,3.75,19.0,0.0
7.9,178.0,43.0,4.75,40.0,0.0
1.92,193.0,12.0,4.65,19.0,1.0
1.07,83.0,10.0,3.96,37.0,0.0
4.24,20.0,39.0,4.84,80.0,0.0
5.18,68.0,32.0,3.95,49.0,0.0
9.15,173.0,54.0,4.71,55.0,0.0
3.33,46.0,24.0,4.72,11.0,0.0
12.57,191.0,48.0,5.07,29.0,0.0
10.17,255.0,79.0,5.14,115.0,0.0
4.29,21.0,20.0,4.6,17.0,0.0
2.05,84.0,15.0,4.64,28.0,0.0
1.79,75.0,16.0,4.03,112.0,0.0
10.06,217.0,80.0,5.02,24.0,0.0
8.12,105.0,76.0,5.18,19.0,0.0
1.96,99.0,11.0,4.75,38.0,0.0
6.66,32.0,10.0,4.69,25.0,0.0
8.62,59.0,57.0,5.09,13.0,1.0
12.98,209.0,101.0,5.11,30.0,0.0
8.79,182.0,85.0,4.77,6.0,0.0
10.22,145.0,69.0,4.47,91.0,0.0
10.21,259.0,80.0,5.11,32.0,0.0
8.71,191.0,34.0,4.68,14.0,0.0
10.53,124.0,71.0,4.89,130.0,0.0
7.82,186.0,64.0,5.11,28.0,0.0
6.54,205.0,46.0,4.55,9.0,1.0
4.14,81.0,37.0,4.74,8.0,0.0
8.95,162.0,15.0,4.77,95.0,0.0
8.94,161.0,50.0,4.25,4.0,0.0
8.24,259.0,19.0,4.93,55.0,0.0
8.19,244.0,51.0,5.02,25.0,0.0
9.3,169.0,86.0,5.18,25.0,0.0
12.72,89.0,60.0,4.81,11.0,1.0
2.76,42.0,16.0,4.61,18.0,0.0
1.14,101.0,11.0,4.69,24.0,0.0
4.41,29.0,24.0,4.67,48.0,0.0
11.49,123.0,108.0,5.14,22.0,0.0
8.88,229.0,25.0,4.74,10.0,0.0
9.13,130.0,55.0,4.42,29.0,0.0
5.62,129.0,11.0,3.88,84.0,1.0
4.03,62.0,17.0,4.55,19.0,0.0
6.0,58.0,18.0,4.6,87.0,0.0
2.27,42.0,17.0,4.3,4.0,0.0
10.01,170.0,64.0,5.02,20.0,0.0
9.59,154.0,96.0,5.09,7.0,0.0
7.16,81.0,20.0,4.44,124.0,1.0
6.08,29.0,25.0,4.49,13.0,0.0
8.75,189.0,16.0,4.5,12.0,0.0
12.79,248.0,122.0,5.26,32.0,0.0
8.79,177.0,18.0,4.44,41.0,0.0
3.91,53.0,19.0,4.8,38.0,0.0
11.0,251.0,12.0,4.89,67.0,0.0
4.84,102.0,29.0,4.61,18.0,1.0
9.87,152.0,24.0,4.32,99.0,0.0
10.79,259.0,61.0,4.73,5.0,0.0
1.87,56.0,15.0,4.64,18.0,0.0
1.57,107.0,12.0,4.61,14.0,0.0
1.2,57.0,10.0,4.42,19.0,0.0
12.98,193.0,128.0,5.26,58.0,0.0
1.93,98.0,17.0,4.78,12.0,0.0
7.17,218.0,67.0,4.83,55.0,1.0
9.38,109.0,43.0,4.75,57.0,0.0
12.19,164.0,84.0,5.24,26.0,0.0
8.19,242.0,20.0,4.69,20.0,0.0
1.34,27.0,10.0,4.71,35.0,0.0
12.14,169.0,104.0,5.39,11.0,0.0
4.69,132.0,16.0,4.67,6.0,1.0
2.58,187.0,21.0,4.9,12.0,1.0
10.89,87.0,93.0,4.86,13.0,1.0
2.37,48.0,23.0,4.06,72.0,0.0
11.78,222.0,57.0,5.17,9.0,0.0
10.49,151.0,75.0,5.12,55.0,0.0
10.78,21.0,66.0,5.01,19.0,1.0
8.48,184.0,34.0,4.81,11.0,0.0
7.67,131.0,14.0,4.73,68.0,0.0
4.86,57.0,38.0,4.62,20.0,0.0
2.67,23.0,23.0,4.63,2.0,0.0
2.51,41.0,11.0,4.61,9.0,0.0
4.08,55.0,32.0,4.1,14.0,0.0
7.57,191.0,75.0,5.05,23.0,1.0
4.04,57.0,24.0,4.47,12.0,0.0
12.66,197.0,108.0,4.99,53.0,0.0
7.04,87.0,29.0,4.7,12.0,1.0
9.33,135.0,81.0,5.12,68.0,0.0
6.72,43.0,58.0,4.97,177.0,0.0
6.24,204.0,15.0,4.9,14.0,1.0
8.94,163.0,20.0,4.61,16.0,0.0
